Date,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
2020-03-03,31.35056495666504,,71.82575225830078,50.30635452270508,103.10630798339844,248.02796936035156,36.29999923706055,,73.05777740478516,119.55000305175781,111.8499984741211,260.3500061035156,36.75,,73.77777862548828,121.0,112.9000015258789,263.45001220703125,35.04999923706055,,71.73777770996094,113.6500015258789,110.30000305175781,240.5,36.70000076293945,,71.9111099243164,114.25,112.0,249.3000030517578,3306566,,2697063,36975433,10346226,2447513
2020-03-04,31.43692970275879,,68.49618530273438,50.222190856933594,105.48003387451172,243.69329833984375,36.400001525878906,,69.67111206054688,119.3499984741211,114.42500305175781,255.8000030517578,38.75,,73.27555847167969,120.0,114.875,263.3999938964844,35.349998474121094,,68.44444274902344,115.0999984741211,111.2249984741211,252.10000610351562,36.29999923706055,,72.9111099243164,119.0,112.44999694824219,262.0,6454043,,8188391,38623129,9036356,2007343
2020-03-05,34.114253997802734,,66.73965454101562,50.93994903564453,105.87181091308594,251.5528106689453,39.5,,67.88444519042969,117.0999984741211,114.8499984741211,264.04998779296875,40.0,,70.4000015258789,122.19999694824219,116.94999694824219,272.75,36.099998474121094,,67.58222198486328,116.0,114.32499694824219,256.79998779296875,36.099998474121094,,70.4000015258789,118.5,114.5250015258789,256.79998779296875,9531514,,2561377,26357440,5941556,5574983
2020-03-06,31.696025848388672,,68.5966567993164,48.308135986328125,103.03719329833984,253.5058135986328,36.70000076293945,,69.77333068847656,111.05000305175781,111.7750015258789,266.1000061035156,38.70000076293945,,70.57777404785156,113.4000015258789,113.0,268.6499938964844,36.29999923706055,,65.95555877685547,108.0999984741211,111.2750015258789,254.60000610351562,37.04999923706055,,65.95555877685547,111.69999694824219,112.5,259.95001220703125,4572495,,1600402,16482554,5868566,2571888
2020-03-09,29.234619140625,,64.97438049316406,41.282676696777344,98.81982421875,244.07435607910156,33.849998474121094,,66.0888900756836,94.9000015258789,107.19999694824219,256.20001220703125,35.95000076293945,,69.15555572509766,105.44999694824219,110.5,267.25,33.54999923706055,,64.53333282470703,93.4000015258789,106.5,248.8000030517578,35.95000076293945,,66.77777862548828,104.0,110.0999984741211,264.8999938964844,3611725,,6511657,38812494,17462228,2318161
2020-03-11,28.41415023803711,,68.40005493164062,40.021148681640625,98.22064208984375,245.8844451904297,32.900001525878906,,69.57333374023438,92.0,106.55000305175781,258.1000061035156,34.5,,70.8133316040039,95.5,107.19999694824219,264.29998779296875,32.5,,64.54222106933594,91.25,101.8499984741211,254.1999969482422,34.0,,66.11111450195312,92.0,101.8499984741211,258.54998779296875,3551512,,4693331,33275417,12270332,2942068
2020-03-12,25.089088439941406,,66.04051971435547,34.73573684692383,91.76785278320312,225.68777465820312,29.049999237060547,,67.17333221435547,79.8499984741211,99.55000305175781,236.89999389648438,31.5,,68.51555633544922,85.5,103.4749984741211,252.60000610351562,28.799999237060547,,62.7599983215332,78.25,98.75,234.5,30.200000762939453,,68.51555633544922,84.75,102.0,250.8000030517578,4209114,,3435795,38859454,10764010,2131508
2020-03-13,26.773212432861328,,67.75773620605469,36.56278991699219,90.98429870605469,239.64443969726562,31.0,,68.91999816894531,84.05000305175781,98.69999694824219,251.5500030517578,31.600000381469727,,69.33333587646484,86.5999984741211,102.2249984741211,255.0,24.399999618530273,,53.78666687011719,68.9000015258789,84.625,202.0,26.299999237060547,,62.31999969482422,73.1500015258789,99.5,219.0,6204887,,1451733,45056179,13043196,1796888
2020-03-16,25.607280731201172,,61.55742645263672,32.560672760009766,82.84918975830078,237.54855346679688,29.649999618530273,,62.61333465576172,74.8499984741211,89.875,249.35000610351562,30.049999237060547,,66.48444366455078,80.69999694824219,96.9749984741211,261.79998779296875,28.549999237060547,,61.82666778564453,74.25,89.2750015258789,236.25,29.700000762939453,,66.22222137451172,78.0,96.9749984741211,247.0,2676456,,1667362,33776987,11201148,2973038
2020-03-17,25.650463104248047,,61.963783264160156,32.62592697143555,79.78411102294922,250.26673889160156,29.700000762939453,,63.02666473388672,75.0,86.55000305175781,262.70001220703125,31.100000381469727,,66.12889099121094,80.44999694824219,92.7750015258789,268.3500061035156,29.0,,61.02666473388672,74.4000015258789,85.375,247.10000610351562,30.0,,62.488887786865234,76.55000305175781,89.2750015258789,249.3000030517578,3188890,,2598750,32827612,12175374,2396541
2020-03-18,25.520915985107422,,57.74722671508789,31.73415756225586,78.33222198486328,245.8844451904297,29.549999237060547,,58.73777770996094,72.94999694824219,84.9749984741211,258.1000061035156,30.899999618530273,,64.49333190917969,78.6500015258789,89.25,267.6499938964844,28.600000381469727,,55.06222152709961,72.0999984741211,84.25,251.0500030517578,30.899999618530273,,63.733333587646484,78.0,88.3499984741211,265.0,3016227,,3367125,30564628,12733198,2087472
2020-03-19,24.916358947753906,,57.109283447265625,30.168113708496094,74.82929229736328,234.21421813964844,28.850000381469727,,58.08888626098633,69.3499984741211,81.17500305175781,245.85000610351562,30.399999618530273,,59.54222106933594,73.6500015258789,85.67500305175781,255.9499969482422,27.600000381469727,,48.47111129760742,67.80000305175781,79.69999694824219,235.0,28.399999618530273,,54.400001525878906,69.44999694824219,82.5,245.0,3077729,,4272255,31315971,11980172,1521965
2020-03-20,25.17545509338379,,52.67424392700195,32.821685791015625,82.59567260742188,272.2733459472656,29.149999618530273,,53.57777786254883,75.44999694824219,89.5999984741211,285.79998779296875,29.899999618530273,,58.99555587768555,78.0,92.9000015258789,290.0,28.600000381469727,,50.400001525878906,70.4000015258789,81.25,252.0,29.100000381469727,,57.071109771728516,72.4000015258789,81.55000305175781,252.0,4874763,,2550296,29770131,20319490,7510948
2020-03-23,22.28221893310547,,51.2366828918457,27.25352668762207,78.4244155883789,270.3926696777344,25.799999237060547,,52.11555480957031,62.650001525878906,85.07499694824219,280.3500061035156,28.0,,54.133331298828125,71.30000305175781,88.5,305.8999938964844,25.100000381469727,,42.862220764160156,61.650001525878906,82.5,274.5,27.149999618530273,,42.862220764160156,67.94999694824219,82.5,288.04998779296875,2375651,,2795220,22554580,10720786,6353782
2020-03-24,23.664064407348633,,49.14806365966797,27.31878662109375,81.2820816040039,268.5601501464844,27.399999618530273,,49.991111755371094,62.79999923706055,88.17500305175781,278.45001220703125,27.700000762939453,,55.11111068725586,68.44999694824219,90.875,299.5,25.25,,47.32444381713867,62.349998474121094,84.0250015258789,273.29998779296875,27.299999237060547,,51.5555534362793,67.5,84.25,297.0,2360676,,3438225,30625756,12061562,2614095
2020-03-25,23.189056396484375,,48.84219741821289,27.92779541015625,80.4985122680664,254.33409118652344,26.850000381469727,,49.68000030517578,64.19999694824219,87.32499694824219,263.70001220703125,27.350000381469727,,51.82222366333008,65.0,94.0,281.0,26.200000762939453,,46.733333587646484,62.349998474121094,85.0999984741211,257.1499938964844,26.5,,51.11111068725586,62.70000076293945,88.69999694824219,270.0,1669507,,2162385,29906347,13456292,2927417
2020-03-26,24.35498809814453,,52.167381286621094,28.62381935119629,84.16278839111328,247.72735595703125,28.200000762939453,,53.06222152709961,65.80000305175781,91.30000305175781,256.8500061035156,29.25,,54.93777847290039,69.19999694824219,93.4000015258789,271.0,26.850000381469727,,49.77777862548828,63.5,86.25,252.8000030517578,27.100000381469727,,50.66222381591797,65.5999984741211,88.4749984741211,267.1000061035156,2454484,,2176335,29677898,10247690,2575177
2020-03-27,25.089088439941406,,49.5544319152832,27.73204231262207,84.57760620117188,243.7247314453125,29.049999237060547,,50.40444564819336,63.75,91.75,252.6999969482422,30.799999237060547,,55.63111114501953,68.8499984741211,94.75,264.75,28.100000381469727,,49.38666534423828,63.0,90.75,248.64999389648438,30.0,,54.57777786254883,68.55000305175781,91.57499694824219,261.0,3370786,,1488926,26203180,13535120,1872352
2020-03-30,24.484533309936523,,46.334110260009766,26.77501106262207,84.87718963623047,243.1942596435547,28.350000381469727,,47.12888717651367,61.54999923706055,92.07499694824219,252.14999389648438,28.850000381469727,,51.5555534362793,62.900001525878906,93.69999694824219,258.3999938964844,27.600000381469727,,46.67555618286133,60.20000076293945,89.67500305175781,247.64999389648438,28.850000381469727,,47.88444519042969,61.79999923706055,90.55000305175781,252.0,1864682,,1933312,17613091,7334804,2234886
2020-03-31,24.78681182861328,,46.2685661315918,28.14530372619629,90.66165924072266,257.7579040527344,28.700000762939453,,47.06222152709961,64.69999694824219,98.3499984741211,267.25,29.75,,48.88888931274414,67.0,99.9000015258789,271.1499938964844,28.399999618530273,,45.33333206176758,62.599998474121094,92.82499694824219,255.10000610351562,29.649999618530273,,48.20000076293945,63.45000076293945,93.5,258.0,1764146,,2728383,44630133,10615252,1919045
